Galaxy,Rad_kpc,Vobs,errV,Vgas,Vdisk,Vbulge,Rad_meters,V_baryonic_sq,V_baryonic,Accel,Exponent,Nu,V_calculated
NGC1003,28.6,112.0,1.7,31.75,32.24,0.0,8.82596e+20,1486.194596,38.55119448214283,1.6838900198958528e-12,0.0960188421511,10.922622904550478,127.40935261937699
NGC1003,29.47,113.0,1.8,34.6,31.75,0.0,9.094442e+20,1660.86875,40.75375749547519,1.8262459093147224e-12,0.0999952179424621,10.508809775092372,132.1126555449759
NGC1003,30.24,115.0,1.6,37.45,31.33,0.0,9.332064e+20,1854.0241940000003,43.05838122828122,1.986724688129015e-12,0.10429619091876143,10.096767643249265,136.81977741459934
UGC07559,0.36,9.31,3.23,2.82,9.53,0.0,1.11096e+19,49.730014,7.051951077538754,4.4763100381651905e-12,0.15655238299831722,6.900679021367943,18.52487150676447
UGC07559,0.72,15.9,3.23,5.91,14.9,0.0,2.22192e+19,137.05270000000002,11.706950926693082,6.168210376611219e-12,0.18377193661628993,5.956832960216336,28.572714968071228
UGC07559,1.08,21.4,3.23,7.85,16.55,0.0,3.3328800000000004e+19,187.61765000000003,13.697359234538606,5.629295084131442e-12,0.1755604197632755,6.210667233590146,34.13547701875842
UGC07559,1.45,26.1,3.23,9.57,17.31,0.0,4.4747e+19,229.41750599999997,15.146534455115466,5.126991887724317e-12,0.16754478647497528,6.482508908041882,38.56424543934124
UGC07559,1.8,29.7,3.23,11.59,16.91,0.0,5.5548e+19,265.86422600000003,16.305343479976127,4.786206992150932e-12,0.1618807998866909,6.6908690239716,42.17656593803702
UGC07559,2.17,31.1,3.23,14.33,15.67,0.0,6.69662e+19,318.301394,17.841003166862563,4.753164939924917e-12,0.16132105210765832,6.7122565756446875,46.22251210085158
UGC07559,2.53,32.1,3.23,16.45,15.47,0.0,7.80758e+19,380.690114,19.511281710846163,4.875904108571414e-12,0.1633906427557169,6.633911357293974,50.25399955102218
CamB,0.16,1.99,1.5,1.86,3.75,0.0,4.9376e+18,9.92835,3.1509284346046327,2.010764338950097e-12,0.10492529294460388,10.039332669043073,9.983687119731558
CamB,0.41,4.84,1.5,4.24,9.47,0.0,1.26526e+19,59.23081400000001,7.696155793641395,4.6813156189241754e-12,0.16009713663462072,6.759543634679904,20.009329617721065
CamB,0.57,6.79,1.5,5.61,11.76,0.0,1.7590199999999998e+19,95.08899600000001,9.751358674564278,5.405793907971485e-12,0.1720399649778371,6.326932500312943,24.527977071387838
CamB,0.73,8.87,1.5,6.77,13.72,0.0,2.25278e+19,132.42256400000002,11.507500336736907,5.8781844654160646e-12,0.17939949184968565,6.089093742290492,28.396010385095693
CamB,0.9,10.9,1.5,7.77,14.8,0.0,2.7774e+19,161.1313,12.693750430822249,5.801515806149638e-12,0.17822570574418722,6.125707184217905,31.41724306829564
CamB,1.06,12.9,1.5,8.44,15.24,0.0,3.27116e+19,178.072096,13.344365702422877,5.44369874906761e-12,0.17264207413641722,6.306710478175999,33.511925544706656
CamB,1.22,14.7,1.5,8.64,15.11,0.0,3.76492e+19,179.673166,13.404221946834513,4.7722970474804245e-12,0.1616453951708157,6.69984557823749,34.69556840221861
CamB,1.47,16.8,1.5,8.08,15.9,0.0,4.53642e+19,181.579,13.475125231329022,4.002693754105661e-12,0.14803887803484225,7.2673143638260385,36.32618442486313
CamB,1.79,20.1,1.5,6.91,14.91,0.0,5.52394e+19,150.009826,12.247849852116902,2.7156309807854542e-12,0.12193685248058447,8.711125040195217,36.14905740878906
NGC4389,0.87,27.3,5.8,3.85,86.56,0.0,2.68482e+19,3461.4339560000003,58.83395240845205,1.2892610886390897e-10,0.8401755537576809,1.7594319592118646,78.03946134416586
NGC4389,1.74,52.7,6.7,8.29,117.08,0.0,5.36964e+19,6374.278244,79.8390771740255,1.1870960146304034e-10,0.8061995041297386,1.8068543664660819,107.31911515774415
NGC4389,2.71,69.2,6.7,12.5,131.94,0.0,8.36306e+19,8164.005256,90.35488506992857,9.761983360157647e-11,0.7310862816593305,1.9282155634822467,125.46697571460813
NGC4389,3.58,83.5,6.4,15.95,142.69,0.0,1.104788e+20,9620.203106,98.08263406944168,8.707736783889764e-11,0.6904818220243619,2.005352111848153,138.89526491218217
NGC4389,4.45,95.9,6.3,20.91,152.97,0.0,1.37327e+20,11201.145714,105.83546529401191,8.156550215179826e-11,0.668271377388255,2.0516772096696814,151.59530132429248
NGC4389,5.32,110.0,7.6,21.98,140.24,0.0,1.641752e+20,9530.058896,97.62202054864466,5.8048102855973366e-11,0.5637591692330155,2.320540012653714,148.7107359645378
NGC0100,0.23,6.81,8.19,-0.86,9.67,0.0,7.0978e+18,43.753694,6.614657511920024,6.164402209135226e-12,0.18371519873612363,5.958508779925319,16.146416625776933
NGC0100,0.69,20.0,4.09,-1.93,23.77,0.0,2.12934e+19,263.630834,16.236712536717523,1.2380870786253016e-11,0.2603605610655183,4.362499729139689,33.91296863911902
